"sc267"	"sp268"	"Name"
"1"	24	7	"YAL062W"
"2"	14	3	"YAL061W"
"3"	72	75	"YAL060W"
"4"	229	238	"YAL059W"
"5"	43	54	"YAL058W"
"6"	146	45	"YAL056W"
"7"	13	19	"YAL055W"
"8"	18	2	"YAL054C"
"9"	256	333	"YAL053W"
"10"	81	42	"YAL051W"
"11"	50	172	"YAL049C"
"12"	31	18	"YAL048C"
"13"	36	38	"YAL047C"
"14"	15	17	"YAL046C"
"15"	31	25	"YAL044W-A"
"16"	56	23	"YAL044C"
"17"	102	102	"YAL043C"
"18"	282	113	"YAL042W"
"19"	149	169	"YAL041W"
"20"	219	567	"YAL040C"
"21"	107	68	"YAL039C"
"22"	8333	4992	"YAL038W"
"23"	15	4	"YAL037W"
"24"	229	217	"YAL036C"
"25"	925	1016	"YAL035W"
"26"	20	21	"YAL034W-A"
"27"	34	16	"YAL034C"
"28"	25	27	"YAL033W"
"29"	63	105	"YAL032C"
"30"	52	37	"YAL031C"
"31"	32	26	"YAL030W"
"32"	231	302	"YAL029C"
"33"	15	27	"YAL028W"
"34"	32	83	"YAL027W"
"35"	155	116	"YAL026C"
"36"	526	620	"YAL025C"
"37"	33	49	"YAL024C"
"38"	423	400	"YAL023C"
"39"	85	52	"YAL022C"
"40"	140	137	"Kpol_1040.14"
"41"	32	22	"YAL020C"
"42"	205	176	"YAL019W"
"43"	1	1	"YAL018C"
"44"	59	43	"YAL017W"
"45"	254	241	"YAL016W"
"46"	40	32	"YAL015C"
"47"	75	28	"YAL014C"
"48"	105	28	"YAL013W"
"49"	481	469	"YAL012W"
"50"	62	79	"YAL011W"
"51"	42	49	"YAL010C"
"52"	46	34	"YAL009W"
"53"	35	27	"YAL008W"
"54"	146	199	"YAL007C"
"55"	1162	329	"YAL005C"
"56"	2034	2394	"YAL003W"
"57"	58	27	"YAL002W"
"58"	63	61	"YAL001C"
"59"	179	147	"YAR002W"
"60"	217	263	"YAR002C-A"
"61"	83	62	"YAR003W"
"62"	56	118	"YAR007C"
"63"	34	39	"YAR008W"
"64"	116	94	"YAR015W"
"65"	39	39	"YAR018C"
"66"	39	34	"YAR019C"
"67"	5	5	"YOL161C"
"68"	59	147	"YBL107C"
"69"	32	30	"YBL106C"
"70"	61	54	"YBL104C"
"71"	77	32	"YBL103C"
"72"	47	45	"YBL102W"
"73"	60	39	"YBL101C"
"74"	311	517	"YBL099W"
"75"	26	66	"YBL098W"
"76"	16	49	"YBL097W"
"77"	21	43	"YBL095W"
"78"	198	111	"YBL093C"
"79"	1845	1935	"YBL092W"
"80"	18	15	"YBL091C-A"
"81"	288	158	"YBL091C"
"82"	43	89	"YBL090W"
"83"	34	44	"YBL089W"
"84"	48	66	"AGL287W"
"85"	712	742	"Kwal_27.10720"
"86"	48	53	"YBL086C"
"87"	201	117	"YBL085W"
"88"	52	33	"YBL084C"
"89"	78	49	"YBL082C"
"90"	161	88	"YBL081W"
"91"	24	88	"YBL080C"
"92"	196	207	"YBL079W"
"93"	10	20	"Kwal_27.10807"
"94"	937	749	"YBL076C"
"95"	45	14	"YBL075C"
"96"	16	5	"YBL074C"
"97"	2001	2797	"YBL072C"
"98"	37	39	"YBL071W-A"
"99"	89	95	"YBL069W"
"100"	138	150	"YBL068W"
"101"	156	96	"YBL067C"
"102"	58	82	"YBL066C"
"103"	37	79	"YBL064C"
"104"	45	34	"YBL063W"
"105"	143	239	"YBL061C"
"106"	60	111	"YBL060W"
"107"	21	50	"YBL059C-A"
"108"	11	22	"YBL059W"
"109"	257	285	"YBL058W"
"110"	76	85	"YBL057C"
"111"	246	267	"YBL056W"
"112"	91	53	"Kwal_27.10917"
"113"	290	176	"YBL054W"
"114"	88	42	"YBL052C"
"115"	183	176	"YBL051C"
"116"	108	83	"YBL050W"
"117"	11	15	"YBL049W"
"118"	263	289	"YBL047C"
"119"	60	70	"YBL046W"
"120"	159	395	"YBL045C"
"121"	1	0	"YBL044W"
"122"	13	49	"YBL043W"
"123"	79	109	"YBL042C"
"124"	78	63	"YBL033C"
"125"	193	96	"YBL032W"
"126"	24	17	"YBL031W"
"127"	316	950	"YBL030C"
"128"	11	28	"YBL029C-A"
"129"	23	16	"YBL029W"
"130"	196	183	"YBL028C"
"131"	2016	2496	"YBL027W"
"132"	87	79	"AFR182C"
"133"	25	24	"YBL025W"
"134"	373	461	"YBL024W"
"135"	97	98	"YBL023C"
"136"	225	223	"YBL022C"
"137"	29	26	"YBL021C"
"138"	160	124	"YBL020W"
"139"	233	149	"YBL017C"
"140"	115	7	"YBL016W"
"141"	54	49	"YBL015W"
"142"	168	151	"YBL014C"
"143"	6	8	"YBL013W"
"144"	246	201	"YBL011W"
"145"	20	26	"YBL010C"
"146"	77	88	"YBL009W"
"147"	51	37	"YBL008W"
"148"	211	120	"YBL007C"
"149"	67	21	"YBL006C"
"150"	93	39	"YBL005W"
"151"	332	341	"AEL006W"
"152"	371	257	"YBL003C"
"153"	444	271	"YBL002W"
"154"	62	38	"YBL001C"
"155"	38	11	"Kpol_1045.60"
"156"	108	151	"YBR002C"
"157"	102	97	"YBR003W"
"158"	86	116	"YBR004C"
"159"	25	72	"YBR005W"
"160"	26	41	"YBR006W"
"161"	55	116	"YBR007C"
"162"	603	514	"YNL030W"
"163"	571	592	"YBR010W"
"164"	1082	1030	"YBR011C"
"165"	50	84	"YBR014C"
"166"	249	238	"YBR015C"
"167"	79	60	NA
"168"	245	418	"YBR017C"
"169"	5	8	"YBR018C"
"170"	11	14	"YBR019C"
"171"	18	11	"YBR020W"
"172"	66	81	"YBR021W"
"173"	20	14	"YBR022W"
"174"	275	419	"YBR023C"
"175"	31	49	"YBR024W"
"176"	991	1013	"YBR025C"
"177"	66	44	"YBR026C"
"178"	110	63	"YBR028C"
"179"	188	202	"YBR029C"
"180"	93	80	"YBR030W"
"181"	1809	2348	"YBR031W"
"182"	29	27	"YBR033W"
"183"	965	748	"YBR034C"
"184"	82	56	"YBR035C"
"185"	179	235	"YBR036C"
"186"	25	57	"YBR037C"
"187"	101	203	"YBR038W"
"188"	199	444	"YBR039W"
"189"	6	7	"YBR040W"
"190"	122	146	"YBR041W"
"191"	109	97	"YBR042C"
"192"	85	51	"YBR043C"
"193"	59	50	"YBR044C"
"194"	5	125	"YBR045C"
"195"	22	10	"YBR046C"
"196"	6	8	"YBR047W"
"197"	1091	1755	"YDR025W"
"198"	70	81	"YBR049C"
"199"	13	1	"YBR050C"
"200"	72	26	"YBR052C"
"201"	32	43	"YBR053C"
"202"	19	17	"YBR054W"
"203"	109	64	"YBR055C"
"204"	36	52	"YBR056W"
"205"	5	16	NA
"206"	130	86	"YBR057C"
"207"	159	102	"YBR058C"
"208"	67	65	"YBR058C-A"
"209"	127	119	"YBR059C"
"210"	86	44	"YBR060C"
"211"	56	462	"YDR037W"
"212"	93	149	"YBR061C"
"213"	52	34	"YBR062C"
"214"	48	25	"YBR063C"
"215"	38	25	"YBR065C"
"216"	24	15	"YBR066C"
"217"	838	113	"YBR067C"
"218"	590	471	"YBR068C"
"219"	566	562	"YBR069C"
"220"	29	39	"YBR070C"
"221"	33	170	"YBR071W"
"222"	5	6	"YBR072W"
"223"	148	84	"YBR073W"
"224"	115	119	"YBR074W"
"225"	9	3	"YBR076W"
"226"	33	47	"YBR077C"
"227"	1466	1684	"YBR078W"
"228"	1107	809	"YBR079C"
"229"	182	132	"YBR080C"
"230"	87	75	"YBR081C"
"231"	451	505	"AER173C"
"232"	51	49	"YBR083W"
"233"	561	407	"YBR084W"
"234"	1348	1552	"YBR084C-A"
"235"	35	15	"YBR085W"
"236"	64	164	"YBR085C-A"
"237"	272	261	"YBR086C"
"238"	90	96	"YBR087W"
"239"	130	320	"YBR088C"
"240"	103	132	"YBR089C-A"
"241"	12	3	"YBR090C"
"242"	19	64	"YBR091C"
"243"	533	234	"YBR093C"
"244"	93	35	"YBR092C"
"245"	89	110	"ADL312C"
"246"	70	72	"YBR095C"
"247"	50	79	"YBR096W"
"248"	29	36	"YBR097W"
"249"	26	31	"YBR098W"
"250"	149	147	"YBR101C"
"251"	64	60	"YBR102C"
"252"	48	77	"YBR103W"
"253"	133	152	"YBR104W"
"254"	323	239	"YBR105C"
"255"	718	838	"YBR106W"
"256"	35	19	"YBR107C"
"257"	33	40	"YBR108W"
"258"	243	261	"Kpol_376.14"
"259"	86	67	"YBR110W"
"260"	85	88	"YBR111C"
"261"	28	46	"YBR111W-A"
"262"	207	204	"YBR112C"
"263"	133	57	"YBR114W"
"264"	177	41	"YBR115C"
"265"	27	3	"YBR117C"
"266"	11695	7591	"YBR118W"
"267"	45	92	"YBR119W"
"268"	25	70	"YBR120C"
"269"	995	971	"YBR121C"
"270"	93	197	"YBR122C"
"271"	61	84	"YBR123C"
"272"	90	114	"YBR125C"
"273"	135	180	"YBR126C"
"274"	839	572	"YBR127C"
"275"	9	14	"YBR128C"
"276"	47	61	"YBR129C"
"277"	144	87	"YBR130C"
"278"	46	35	"YBR131W"
"279"	20	20	"YBR132C"
"280"	94	80	"YBR133C"
"281"	52	37	"YBR135W"
"282"	34	35	"YBR136W"
"283"	30	51	"YBR137W"
"284"	13	32	"YBR138C"
"285"	28	53	"YBR139W"
"286"	120	84	"YBR140C"
"287"	52	71	"YBR141C"
"288"	374	408	"YBR142W"
"289"	845	742	"YBR143C"
"290"	60	41	"YBR145W"
"291"	116	239	"YBR146W"
"292"	5	12	"YBR147W"
"293"	13	25	"YBR148W"
"294"	129	177	"YBR149W"
"295"	44	85	"YBR150C"
"296"	207	306	"YBR151W"
"297"	33	24	"YBR152W"
"298"	41	58	"YBR153W"
"299"	266	342	"YBR154C"
"300"	252	237	"YBR155W"
"301"	41	32	"YBR156C"
"302"	29	2	"YBR157C"
"303"	615	157	"YBR158W"
"304"	214	182	"YBR159W"
"305"	73	136	"YBR160W"
"306"	42	54	"YBR161W"
"307"	1033	643	"YBR162C"
"308"	55	96	NA
"309"	109	46	"YBR163W"
"310"	106	118	"YBR164C"
"311"	42	54	"YBR165W"
"312"	155	149	"YBR166C"
"313"	29	49	"YBR167C"
"314"	25	20	"YBR168W"
"315"	27	46	"YBR169C"
"316"	105	76	"YBR170C"
"317"	167	164	"YBR171W"
"318"	311	391	"YBR172C"
"319"	118	199	"YBR173C"
"320"	46	50	"YBR175W"
"321"	29	49	"YBR176W"
"322"	86	36	"YBR177C"
"323"	55	94	"YBR179C"
"324"	3	1	"YBR180W"
"325"	1530	2280	"Kpol_1048.47"
"326"	14	42	"YBR182C"
"327"	13	29	"YBR183W"
"328"	3	31	"YBR184W"
"329"	42	131	"YBR185C"
"330"	26	25	"YBR186W"
"331"	165	239	"YBR187W"
"332"	20	22	"YBR188C"
"333"	2286	2276	"YPL081W"
"334"	1395	1569	"YBR191W"
"335"	43	34	NA
"336"	101	164	"YBR192W"
"337"	30	36	"YBR193C"
"338"	11	13	"YBR194W"
"339"	45	97	"YBR195C"
"340"	1545	1075	"YBR196C"
"341"	33	15	"YBR197C"
"342"	143	108	"YBR198C"
"343"	185	177	"YBR199W"
"344"	107	98	"YBR200W"
"345"	21	38	"YBR201W"
"346"	10	9	"YBR201C-A"
"347"	145	149	"YBR202W"
"348"	34	83	"YBR203W"
"349"	37	25	"YBR204C"
"350"	159	166	"YBR205W"
"351"	144	126	"YBR207W"
"352"	74	35	"YBR208C"
"353"	1	1	"YBR209W"
"354"	47	27	"YBR210W"
"355"	58	52	"YBR211C"
"356"	172	151	"YBR212W"
"357"	9	11	"YBR213W"
"358"	37	22	"YBR214W"
"359"	71	60	"YBR215W"
"360"	42	55	"YBR216C"
"361"	27	11	"YBR217W"
"362"	205	362	"YBR218C"
"363"	83	57	"Kpol_461.1"
"364"	388	303	"YBR221C"
"365"	115	25	"YBR222C"
"366"	22	28	"YBR223C"
"367"	64	48	"YBR225W"
"368"	99	74	"YBR227C"
"369"	37	20	"YBR228W"
"370"	90	57	"YBR229C"
"371"	26	46	"YBR230C"
"372"	4	7	"YBR230W-A"
"373"	26	18	"YBR231C"
"374"	50	34	"YBR233W"
"375"	29	13	"YBR233W-A"
"376"	180	229	"YBR234C"
"377"	80	79	"YBR235W"
"378"	45	55	"YBR236C"
"379"	82	102	"YBR237W"
"380"	514	558	"YBR238C"
"381"	46	41	"YBR239C"
"382"	4	7	"YBR240C"
"383"	17	14	"YBR241C"
"384"	109	209	"YBR242W"
"385"	69	74	"YBR243C"
"386"	56	251	"YBR244W"
"387"	158	185	"YBR245C"
"388"	109	150	"YBR246W"
"389"	268	350	"YBR247C"
"390"	102	89	"YBR248C"
"391"	620	552	"YBR249C"
"392"	9	7	"YBR250W"
"393"	56	168	"YBR251W"
"394"	75	130	"YBR252W"
"395"	33	42	"YBR253W"
"396"	30	28	"YBR254C"
"397"	46	38	"YBR255W"
"398"	29	16	"YBR255C-A"
"399"	112	61	"YBR256C"
"400"	50	83	"YBR257W"
"401"	19	23	"YBR258C"
"402"	39	33	"YBR259W"
"403"	47	51	"YBR260C"
"404"	69	107	"YBR261C"
"405"	71	88	"YBR262C"
"406"	393	358	"YBR263W"
"407"	35	27	"YBR264C"
"408"	124	118	"YBR265W"
"409"	362	293	"YBR267W"
"410"	31	54	"YBR268W"
"411"	30	37	"YBR269C"
"412"	34	53	"YBR270C"
"413"	131	75	"YBR271W"
"414"	37	90	"YBR272C"
"415"	72	89	"YBR273C"
"416"	56	84	"YBR274W"
"417"	84	53	"YBR275C"
"418"	96	70	"YBR276C"
"419"	19	26	"YBR278W"
"420"	190	224	"YBR279W"
"421"	16	13	"YBR280C"
"422"	72	86	"YBR281C"
"423"	39	140	"YBR282W"
"424"	584	367	"YBR283C"
"425"	15	15	"YBR284W"
"426"	8	2	"YBR285W"
"427"	960	637	"YBR286W"
"428"	124	248	"YBR287W"
"429"	76	66	"YBR288C"
"430"	45	37	"YBR289W"
"431"	84	96	"YBR290W"
"432"	58	35	"YBR291C"
"433"	96	4	"YBR293W"
"434"	50	22	"YBR294W"
"435"	710	36	"YCL064C"
"436"	90	81	"YCL063W"
"437"	37	49	"YCL061C"
"438"	314	236	"YCL059C"
"439"	47	81	"YCL058W-A"
"440"	34	56	"YCL057C-A"
"441"	170	168	"YCL057W"
"442"	31	30	"YCL056C"
"443"	93	61	"YCL055W"
"444"	633	528	"YCL054W"
"445"	69	57	"YCL052C"
"446"	74	32	"YCL051W"
"447"	355	422	"YCL050C"
"448"	57	94	"YCL049C"
"449"	0	2	NA
"450"	2	15	"YCL048W"
"451"	22	34	"YCL047C"
"452"	349	359	"YCL045C"
"453"	50	45	"YCL044C"
"454"	975	717	"YCL043C"
"455"	47	76	"YCL040W"
"456"	69	26	"YCL039W"
"457"	50	44	"YCL038C"
"458"	7	29	"YCL037C"
"459"	140	9	"YCL028W"
"460"	39	0	"YCL027W"
"461"	10	12	"YCL026C-B"
"462"	6	9	"YCL026C-A"
"463"	195	82	"YCL025C"
"464"	20	46	"YCL024W"
"465"	81	38	"YCL018W"
"466"	141	175	"YCL017C"
"467"	31	35	"YCL016C"
"468"	60	84	"YCL014W"
"469"	22	28	"YCL012C"
"470"	289	215	"YCL011C"
"471"	53	33	"YCL010C"
"472"	211	179	"YCL009C"
"473"	63	27	"YCL008C"
"474"	64	34	"YCL005W-A"
"475"	45	42	"YCL005W"
"476"	28	40	"YCL004W"
"477"	59	58	"YCL002C"
"478"	130	144	"YCL001W"
"479"	1	2	"YCL001W-A"
"480"	136	258	"YCR002C"
"481"	34	84	"YCR003W"
"482"	101	104	"YCR004C"
"483"	288	72	"YCR005C"
"484"	8	2	"YCR006C"
"485"	179	157	"YCR008W"
"486"	164	147	"YCR009C"
"487"	5	1	"YCR010C"
"488"	97	142	"YCR011C"
"489"	4234	1875	"YCR012W"
"490"	43	19	"YCR014C"
"491"	26	21	"YCR015C"
"492"	270	209	"YCR016W"
"493"	267	235	"YCR017C"
"494"	66	1	"YCR018C"
"495"	26	19	"YCR019W"
"496"	9	22	"YCR020C"
"497"	21	26	"YCR020C-A"
"498"	42	40	"YCR020W-B"
"499"	18	4	"YCR021C"
"500"	66	25	"YCR023C"
"501"	39	35	"YCR024C"
"502"	466	372	"YEL017C-A"
"503"	2	1	"YCR025C"
"504"	81	83	"YCR026C"
"505"	39	42	"YCR027C"
"506"	81	93	"YCR028C"
"507"	159	200	"YCR028C-A"
"508"	57	108	"YCR030C"
"509"	1358	1876	"YCR031C"
"510"	44	47	"YCR032W"
"511"	224	116	"YCR033W"
"512"	304	306	"YCR034W"
"513"	195	233	"AFR625C"
"514"	84	49	"YCR036W"
"515"	165	228	"YCR037C"
"516"	9	14	"YCR038C"
"517"	50	26	"YCR039C"
"518"	40	2	"YCR040W"
"519"	15	6	"YCR041W"
"520"	110	111	"YCR042C"
"521"	69	58	"YCR043C"
"522"	86	82	"YCR044C"
"523"	39	21	"YCR045C"
"524"	52	49	"YCR046C"
"525"	120	71	"YCR047C"
"526"	91	38	"YCR048W"
"527"	131	111	"YCR051W"
"528"	131	57	"YCR052W"
"529"	463	491	"YCR053W"
"530"	61	84	"YCR054C"
"531"	491	434	"YCR057C"
"532"	69	29	"YCR059C"
"533"	25	21	"YCR060W"
"534"	23	12	"YCR061W"
"535"	8	11	"YCR063W"
"536"	80	72	"YCR065W"
"537"	46	53	"YCR066W"
"538"	142	132	"YCR067C"
"539"	24	16	"YCR068W"
"540"	77	55	"YCR069W"
"541"	33	70	"YCR071C"
"542"	242	212	"YCR072C"
"543"	80	41	"YCR073C"
"544"	40	38	"YCR073W-A"
"545"	16	9	"YCR075C"
"546"	8	11	"YCR075W-A"
"547"	27	16	"YCR076C"
"548"	345	254	"YCR077C"
"549"	38	46	"YCR079W"
"550"	49	56	"YCR081W"
"551"	103	41	"YCR082W"
"552"	41	18	"YCR083W"
"553"	267	216	"YCR084C"
"554"	16	14	"YCR086W"
"555"	80	104	"YCR087C-A"
"556"	150	119	"YCR088W"
"557"	89	36	"YCR089W"
"558"	65	71	"YCR090C"
"559"	15	25	"YCR091W"
"560"	49	83	"YCR092C"
"561"	239	412	"YCR093W"
"562"	71	84	"YCR094W"
"563"	65	99	"YCR095C"
"564"	119	26	"YDL240W"
"565"	13	53	"YDL239C"
"566"	6	5	"YDL238C"
"567"	80	60	"YDL237W"
"568"	169	151	"YDL236W"
"569"	102	236	"YDL235C"
"570"	87	47	"YDL234C"
"571"	32	21	"YDL233W"
"572"	25	24	"YDL232W"
"573"	157	153	"YDL231C"
"574"	33	29	"YDL230W"
"575"	3969	3635	"YDL229W"
"576"	129	86	"YDL226C"
"577"	170	142	"YDL225W"
"578"	136	89	"YDL224C"
"579"	48	10	"YDL223C"
"580"	4	2	"YDL222C"
"581"	17	11	"YDL220C"
"582"	37	33	"YDL219W"
"583"	10	10	"YDL218W"
"584"	73	51	"YDL217C"
"585"	15	22	"YDL216C"
"586"	181	72	"YDL215C"
"587"	13	1	"YDL214C"
"588"	227	173	"YDL213C"
"589"	241	265	"YDL212W"
"590"	34	49	"YDL211C"
"591"	5	1	"YDL210W"
"592"	56	33	"YDL209C"
"593"	442	413	"YDL208W"
"594"	138	61	"YDL207W"
"595"	39	31	"YDL206W"
"596"	200	86	"YDL205C"
"597"	21	31	"YDL204W"
"598"	71	45	"YDL203C"
"599"	73	99	"YDL202W"
"600"	197	185	"YDL201W"
"601"	23	13	"YDL200C"
"602"	24	12	"YDL199C"
"603"	71	120	"YDL198C"
"604"	32	25	"YDL197C"
"605"	1	0	"YDL196W"
"606"	352	274	"YDL195W"
"607"	41	38	"YDL194W"
"608"	73	71	"YDL193W"
"609"	545	825	"YDL192W"
"610"	989	1358	"Kpol_1019.33"
"611"	115	134	"YDL190C"
"612"	124	72	"YDL189W"
"613"	99	82	"YDL188C"
"614"	11	9	"YDL186W"
"615"	18	27	"YDL185C-A"
"616"	732	558	"YDL185W"
"617"	27	31	"YDL183C"
"618"	651	123	"YDL182W"
"619"	9	76	"YDL181W"
"620"	66	53	"YDL180W"
"621"	64	89	"YDL179W"
"622"	109	197	"YDL178W"
"623"	21	18	"YDL177C"
"624"	54	34	"YDL176W"
"625"	48	37	"YDL175C"
"626"	106	170	"YDL174C"
"627"	87	36	"YDL173W"
"628"	309	116	"YDL171C"
"629"	77	19	"YDL170W"
"630"	9	9	"YDL169C"
"631"	146	100	"YDL168W"
"632"	245	222	"YDL167C"
"633"	80	149	"YDL166C"
"634"	44	56	"YDL165W"
"635"	77	127	"YDL164C"
"636"	123	142	"YDL161W"
"637"	10	7	"YDL160C-A"
"638"	125	93	"YDL160C"
"639"	60	71	"YDL159W"
"640"	70	46	"YDL157C"
"641"	17	14	"YDL156W"
"642"	85	88	"YDL155W"
"643"	24	9	"YDL154W"
"644"	561	386	"YDL153C"
"645"	256	169	"YDL150W"
"646"	26	34	"YDL149W"
"647"	455	406	"YDL148C"
"648"	430	472	"YDL147W"
"649"	34	19	"YDL146W"
"650"	540	269	"YDL145C"
"651"	50	36	"YDL144C"
"652"	492	417	"YDL143W"
"653"	30	25	"YDL142C"
"654"	66	46	"YDL141W"
"655"	508	47	"YDL140C"
"656"	19	16	"YDL139C"
"657"	40	30	"YDL138W"
"658"	224	291	"YDL137W"
"659"	774	1060	"YDL136W"
"660"	75	84	"YDL135C"
"661"	215	165	"YDL134C"
"662"	54	76	"YDL133W"
"663"	126	145	"YDL132W"
"664"	320	85	"YDL131W"
"665"	12	38	"YDL130W-A"
"666"	596	460	"YDL130W"
"667"	75	43	"YDL129W"
"668"	201	127	"YDL128W"
"669"	34	32	"YDL127W"
"670"	908	1069	"YDL126C"
"671"	168	105	"YDL125C"
"672"	123	201	"YDL124W"
"673"	46	42	"YDL123W"
"674"	338	355	"YDL122W"
"675"	87	117	"YDL121C"
"676"	53	46	"YDL120W"
"677"	34	34	"YDL119C"
"678"	140	225	"YDL117W"
"679"	120	218	"YDL116W"
"680"	58	54	"YDL115C"
"681"	1	1	"YDL114W"
"682"	42	36	"YDL113C"
"683"	251	115	"YDL112W"
"684"	173	161	"Kpol_534.9"
"685"	37	86	"YDL110C"
"686"	25	11	"YDL109C"
"687"	41	27	"YDL108W"
"688"	20	37	"YDL107W"
"689"	30	54	"YDL106C"
"690"	14	28	"YDL105W"
"691"	12	20	"YDL104C"
"692"	72	120	"YDL103C"
"693"	87	128	"YDL102W"
"694"	30	99	"YDL101C"
"695"	361	459	"YDL100C"
"696"	144	154	"YDL099W"
"697"	31	33	"YDL098C"
"698"	404	371	"YDL097C"
"699"	237	289	"YDL095W"
"700"	59	53	"YDL095W"
"701"	125	100	"YDL092W"
"702"	29	40	"YDL091C"
"703"	34	40	"YDL090C"
"704"	38	30	"YDL089W"
"705"	117	134	"YDL088C"
"706"	32	18	"YDL087C"
"707"	99	118	"YDL086W"
"708"	21	23	NA
"709"	4	6	"YDL085W"
"710"	737	528	"YDL084W"
"711"	1262	1480	"YDL083C"
"712"	1082	1292	"YDL082W"
"713"	856	1309	"YDL081C"
"714"	60	43	"YDL080C"
"715"	29	12	"YDL079C"
"716"	122	48	"YDL078C"
"717"	45	48	"YDL077C"
"718"	61	55	"YDL076C"
"719"	1233	1460	"YDL075W"
"720"	217	149	"YDL074C"
"721"	137	118	"YDL073W"
"722"	140	191	"YDL072C"
"723"	20	8	"YDL071C"
"724"	591	188	"YDL070W"
"725"	21	32	"YDL069C"
"726"	55	127	"YDL067C"
"727"	137	262	"YDL066W"
"728"	66	71	"YDL065C"
"729"	72	56	"YDL064W"
"730"	190	402	"YDL063C"
"731"	484	342	"YDL061C"
"732"	364	396	"YDL060W"
"733"	12	6	"YDL059C"
"734"	110	126	"YDL058W"
"735"	14	11	"YDL057W"
"736"	93	49	"YDL056W"
"737"	2051	1944	"YDL055C"
