"","YAL051W","YBL002W","YBL003C","YBL005W","YBL021C","YBL066C","YBL103C","YBR026C","YBR083W","YBR089C.A","YBR112C","YBR240C","YCL055W","YCL066W","YCR018C","YCR028C.A","YCR081W","YCR084C","YCR097W","YCR106W","YDL020C","YDL056W","YDL070W","YDL106C","YDL140C","YDL170W","YDL185W","YDR043C","YDR076W","YDR123C","YDR146C","YDR176W","YDR207C","YDR213W","YDR216W","YDR224C","YDR225W","YDR253C","YDR277C","YDR296W","YDR310C","YDR314C","YDR328C","YDR392W","YDR421W","YDR423C","YDR451C","YDR463W","YDR477W","YEL009C","YEL056W","YER028C","YER040W","YER064C","YER109C","YER111C","YER130C","YER184C","YFL021W","YFL031W","YFL036W","YFR034C","YFR037C","YGL013C","YGL033W","YGL035C","YGL071W","YGL073W","YGL105W","YGL166W","YGL175C","YGL192W","YGL197W","YGL209W","YGL237C","YGL244W","YGL254W","YGR005C","YGR063C","YGR097W","YGR159C","YGR186W","YHL020C","YHL027W","YHR006W","YHR084W","YHR143W.A","YHR146W","YHR178W","YHR191C","YHR206W","YIL056W","YIL084C","YIL101C","YIL128W","YIL131C","YIR017C","YIR018W","YIR023W","YIR033W","YJL056C","YJL089W","YJL092W","YJL110C","YJL115W","YJL127C","YJR046W","YJR060W","YJR144W","YKL015W","YKL032C","YKL038W","YKL062W","YKL109W","YKL112W","YKL185W","YKL222C","YKR034W","YKR048C","YKR099W","YLR013W","YLR014C","YLR098C","YLR131C","YLR136C","YLR150W","YLR175W","YLR176C","YLR223C","YLR228C","YLR247C","YLR256W","YLR375W","YLR403W","YLR451W","YML007W","YML027W","YML051W","YML099C","YML113W","YMR016C","YMR021C","YMR037C","YMR042W","YMR043W","YMR070W","YMR074C","YMR080C","YMR094W","YMR168C","YMR228W","YMR280C","YNL007C","YNL027W","YNL068C","YNL102W","YNL103W","YNL167C","YNL199C","YNL216W","YNL290W","YNL314W","YOL004W","YOL005C","YOL028C","YOL067C","YOL068C","YOL108C","YOL116W","YOL145C","YOL148C","YOR025W","YOR028C","YOR032C","YOR113W","YOR140W","YOR162C","YOR230W","YOR258W","YOR290C","YOR304W","YOR338W","YOR344C","YOR358W","YOR372C","YPL038W","YPL049C","YPL075W","YPL082C","YPL089C","YPL177C","YPL202C","YPR015C","YPR065W","YPR094W","YPR104C","YPR186C","YPR196W","Name","comparison","P1","P2","H1","H2","T1","T2","total_diff","cis_diff","trans_diff","cis_percent","total_reads","haplosufficiency","pvalsPar1.adj","pvalsHyb1.adj","DiffYN","DiffYN_par"
"2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"YAL012W","cer-cer",3664,5070,4365,4369,3665.94831446993,5068.05168553007,-0.468566243793759,-0.00132145192741512,-0.467244791866344,0.0028202030020685,8734,"sufficient",1.56268012536316e-49,1,"No","Yes"
"4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"YAL021C","cer-cer",187,194,189,192,188.499710624225,192.500289375775,-0.053018382299491,-0.0227200765000835,-0.0302983057994075,0.428532058404612,381,"sufficient",0.86803276831737,1,"No","No"
"5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"YAL023C","cer-cer",690,815,762,743,680.575416776925,824.424583223075,-0.240203697452909,0.0364287869547259,-0.276632484407634,0.116363122133241,1505,"sufficient",0.00593959099337308,0.895499224117525,"No","Yes"
"7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"YAL040C","cer-cer",147,309,231,225,144.390832328106,311.609167671894,-1.07179068306801,0.0379678501990204,-1.10975853326703,0.0330809248144669,456,"sufficient",3.83486544375622e-13,0.962424209782069,"No","Yes"
"8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"YAL044C","cer-cer",384,171,267,288,392.825298081908,162.174701918092,1.16710998583526,-0.109229069754758,1.27633905559002,0.0788334169621422,555,"sufficient",1.66103359131973e-18,0.734681884839309,"No","Yes"
"10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"YAL054C","cer-cer",27,26,22,31,31.4840312278211,21.5159687721789,0.0544477840223765,-0.494764691749578,0.549212475771954,0.473922904774039,53,"sufficient",1,0.615515242099053,"No","No"
"11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"YAL060W","cer-cer",467,362,465,364,416.531346248204,412.468653751796,0.367432852626457,0.353292265796697,0.0141405868297593,0.961515180995165,829,"sufficient",0.00152887157229568,0.00517412660768786,"Yes","Yes"
"12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"YAL061W","cer-cer",87,14,69,32,74.9824,26.0176,2.63558857379112,1.10852445677817,1.52706411701296,0.420598445372537,101,"sufficient",7.15922831387634e-13,0.00319739067087003,"Yes","Yes"
"17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"YAR015W","cer-cer",825,408,712,521,735.747291832392,497.252708167609,1.01582496716168,0.450593868687889,0.565231098473793,0.44357431964573,1233,"sufficient",2.00990333834794e-31,1.10300850930123e-06,"Yes","Yes"
"18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"YAR018C","cer-cer",144,137,124,157,160.441660773816,120.558339226184,0.0718929184817857,-0.340424438504752,0.412317356986537,0.452245963415075,281,"sufficient",0.839980280126889,0.245655777865798,"No","No"
"22",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"YBL002W","cer-cer",2570,3134,2590,3114,2831.81666546733,2872.18333453267,-0.28623682039134,-0.265816846505121,-0.0204199738862189,0.928660562053823,5704,"sufficient",1.26815889124012e-12,1.08348888398148e-10,"Yes","Yes"
"23",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"YBL003C","cer-cer",2605,2958,2674,2889,2712.33036693184,2850.66963306816,-0.183338679933197,-0.111570738471263,-0.0717679414619346,0.608549917081957,5563,"sufficient",1.70269446783979e-05,0.0326913906408834,"Yes","Yes"
