ORF code	Gene name	dN	dS	dN/dS
YHL015W	RPS20	0.000	0.046	0.000
YOR369C	RPS12	0.000	0.159	0.000
YDR404C	RPB7	0.000	0.289	0.000
YOR210W	RPB10	0.000	0.198	0.000
YNL031C	HHT2	0.000	0.158	0.000
YPR165W	RHO1	0.000	0.181	0.000
YEL027W	CUP5	0.000	0.071	0.000
YGR027C	RPS25A	0.000	0.122	0.000
YGL058W	RAD6	0.000	0.522	0.000
YML129C	COX14	0.000	0.365	0.000
YFL039C	ACT1	0.000	0.101	0.000
YBR010W	HHT1	0.000	0.182	0.000
YEL026W	SNU13	0.000	0.101	0.000
YDR225W	HTA1	0.000	0.167	0.000
YCR039C	MATALPHA2	0.000	0.018	0.000
YBR088C	POL30	0.000	0.355	0.000
YIL053W	RHR2	0.000	0.185	0.000
YML001W	YPT7	0.000	0.183	0.000
YDL192W	ARF1	0.000	0.138	0.000
YPL218W	SAR1	0.000	0.324	0.000
YKL013C	ARC19	0.000	0.197	0.000
YNL006W	LST8	0.000	0.317	0.000
YBR109C	CMD1	0.000	0.221	0.000
YDR224C	HTB1	0.000	0.172	0.000
YJL190C	RPS22A	0.000	0.028	0.000
YER148W	SPT15	0.000	0.270	0.000
YGL070C	RPB9	0.000	0.358	0.000
YCR009C	RVS161	0.000	0.242	0.000
YER117W	RPL23B	0.000	0.099	0.000
YGL189C	RPS26A	0.000	0.075	0.000
YJR123W	RPS5	0.000	0.042	0.000
YGL103W	RPL28	0.000	0.152	0.000
YDL007W	RPT2	0.000	0.226	0.000
YOL139C	CDC33	0.000	0.162	0.000
YFL038C	YPT1	0.000	0.322	0.000
YBR082C	UBC4	0.000	0.225	0.000
YLR441C	RPS1A	0.000	0.079	0.000
YEL020W-A	TIM9	0.000	0.192	0.000
YDR418W	RPL12B	0.000	0.136	0.000
YEL054C	RPL12A	0.000	0.134	0.000
YML085C	TUB1	0.000	0.182	0.000
YOR185C	GSP2	0.000	0.310	0.000
YDR320C-A	DAD4	0.000	0.288	0.000
YBR135W	CKS1	0.000	0.265	0.000
YHR132W-A	IGO2	0.000	0.321	0.000
YOR167C	RPS28A	0.000	0.036	0.000
YLR264W	RPS28B	0.000	0.018	0.000
YNL244C	SUI1	0.000	0.094	0.000
