Scer_Name	Spar_Name	Scer_Gene
Scer_1.26	Spar_1.6	YAL062W
Scer_1.27	Spar_1.7	YAL061W
Scer_1.28	Spar_1.9	YAL060W
Scer_1.29	Spar_1.10	YAL059W
Scer_1.30	Spar_1.11	YAL058W
Scer_1.31	Spar_1.12	YAL056W
Scer_1.32	Spar_1.14	YAL055W
Scer_1.33	Spar_1.15	YAL054C
Scer_1.34	Spar_1.16	YAL053W
Scer_1.35	Spar_1.17	YAL051W
Scer_1.36	Spar_1.18	YAL049C
Scer_1.37	Spar_1.19	YAL048C
Scer_1.38	Spar_1.20	YAL047C
Scer_1.39	Spar_1.21	YAL046C
Scer_1.40	Spar_1.22	YAL044W-A
Scer_1.41	Spar_1.23	YAL044C
Scer_1.42	Spar_1.24	YAL043C
Scer_1.43	Spar_1.25	YAL042W
Scer_1.44	Spar_1.26	YAL041W
Scer_1.45	Spar_1.27	YAL040C
Scer_1.46	Spar_1.28	YAL039C
Scer_1.47	Spar_1.29	YAL038W
Scer_1.48	Spar_1.30	YAL037W
Scer_1.49	Spar_1.31	YAL036C
Scer_1.50	Spar_1.32	YAL035W
Scer_1.52	Spar_1.34	YAL034W-A
Scer_1.53	Spar_1.35	YAL034C
Scer_1.54	Spar_1.36	YAL033W
Scer_1.55	Spar_1.37	YAL032C
Scer_1.56	Spar_1.38	YAL031C
Scer_1.57	Spar_1.39	YAL030W
Scer_1.58	Spar_1.40	YAL029C
Scer_1.59	Spar_1.41	YAL028W
Scer_1.60	Spar_1.42	YAL027W
Scer_1.62	Spar_1.43	YAL026C
Scer_1.63	Spar_1.44	YAL025C
Scer_1.64	Spar_1.45	YAL024C
Scer_1.65	Spar_1.46	YAL023C
Scer_1.66	Spar_1.47	YAL022C
Scer_1.67	Spar_1.48	Kpol_1040.14
Scer_1.68	Spar_1.49	YAL020C
Scer_1.69	Spar_1.51	YAL019W
Scer_1.70	Spar_1.52	YAL018C
Scer_1.71	Spar_1.53	YAL017W
Scer_1.73	Spar_1.56	YAL016W
Scer_1.74	Spar_1.57	YAL015C
Scer_1.75	Spar_1.58	YAL014C
Scer_1.76	Spar_1.59	YAL013W
Scer_1.77	Spar_1.60	YAL012W
Scer_1.78	Spar_1.61	YAL011W
Scer_1.79	Spar_1.62	YAL010C
Scer_1.80	Spar_1.63	YAL009W
Scer_1.81	Spar_1.64	YAL008W
Scer_1.82	Spar_1.65	YAL007C
Scer_1.84	Spar_1.73	YAL005C
Scer_1.85	Spar_1.74	YAL003W
Scer_1.86	Spar_1.75	YAL002W
Scer_1.87	Spar_1.76	YAL001C
Scer_1.88	Spar_1.77	YAR002W
Scer_1.89	Spar_1.78	YAR002C-A
Scer_1.90	Spar_1.79	YAR003W
Scer_1.91	Spar_1.80	YAR007C
Scer_1.92	Spar_1.81	YAR008W
Scer_1.103	Spar_1.85	YAR015W
Scer_1.104	Spar_1.86	YAR018C
Scer_1.105	Spar_1.87	YAR019C
Scer_1.107	Spar_1.89	YOL161C
Scer_2.23	Spar_2.14	YBL107C
Scer_2.24	Spar_2.15	YBL106C
Scer_2.26	Spar_2.18	YBL104C
Scer_2.27	Spar_2.19	YBL103C
Scer_2.28	Spar_2.20	YBL102W
Scer_2.29	Spar_2.21	YBL101C
Scer_2.43	Spar_2.26	YBL099W
Scer_2.44	Spar_2.27	YBL098W
Scer_2.45	Spar_2.28	YBL097W
Scer_2.46	Spar_2.29	YBL095W
Scer_2.47	Spar_2.30	YBL093C
Scer_2.48	Spar_2.31	YBL092W
Scer_2.49	Spar_2.32	YBL091C-A
Scer_2.50	Spar_2.33	YBL091C
Scer_2.51	Spar_2.34	YBL090W
Scer_2.52	Spar_2.35	YBL089W
Scer_2.53	Spar_2.36	AGL287W
Scer_2.54	Spar_2.37	Kwal_27.10720
Scer_2.55	Spar_2.38	YBL086C
Scer_2.56	Spar_2.39	YBL085W
Scer_2.57	Spar_2.40	YBL084C
Scer_2.58	Spar_2.41	YBL082C
Scer_2.59	Spar_2.42	YBL081W
Scer_2.60	Spar_2.43	YBL080C
Scer_2.61	Spar_2.44	YBL079W
Scer_2.62	Spar_2.45	Kwal_27.10807
Scer_2.63	Spar_2.47	YBL076C
Scer_2.64	Spar_2.48	YBL075C
Scer_2.65	Spar_2.49	YBL074C
Scer_2.67	Spar_2.50	YBL072C
Scer_2.69	Spar_2.51	YBL071W-A
Scer_2.71	Spar_2.54	YBL069W
Scer_2.72	Spar_2.55	YBL068W
